swb,gender,age,country
5,2,42,Brazil
5,1,45,Brazil
3,1,60,Brazil
0,1,38,Brazil
8,1,45,Brazil
5,2,55,Brazil
10,2,37,Brazil
9,1,81,Brazil
6,2,68,Brazil
4,2,54,Brazil
7,2,32,Brazil
3,1,42,Brazil
5,1,23,Brazil
7,2,18,Brazil
6,1,19,Brazil
7,2,43,Brazil
5,1,18,Brazil
7,2,50,Brazil
5,2,41,Brazil
7,1,29,Brazil
7,1,52,Brazil
10,2,28,Brazil
5,1,32,Brazil
6,2,39,Brazil
10,1,50,Brazil
9,1,53,Brazil
10,2,29,Brazil
1,1,68,Brazil
8,2,49,Brazil
7,1,53,Brazil
2,1,53,Brazil
3,1,31,Brazil
2,2,56,Brazil
8,2,36,Brazil
10,1,55,Brazil
5,2,26,Brazil
7,2,44,Brazil
10,2,76,Brazil
9,1,18,Brazil
10,2,67,Brazil
4,2,23,Brazil
6,1,51,Brazil
8,1,57,Brazil
7,2,21,Brazil
10,2,37,Brazil
5,1,25,Brazil
6,2,56,Brazil
3,2,68,Brazil
7,2,49,Brazil
6,1,26,Brazil
5,1,35,Brazil
3,2,24,Brazil
8,1,40,Brazil
7,1,21,Brazil
5,1,41,Brazil
10,1,20,Brazil
0,2,22,Brazil
3,1,38,Brazil
10,2,83,Brazil
5,2,30,Brazil
5,2,65,Brazil
10,2,46,Brazil
8,1,35,Brazil
6,2,20,Brazil
5,2,26,Brazil
5,1,45,Brazil
10,2,44,Brazil
6,2,25,Brazil
8,2,59,Brazil
3,2,21,Brazil
5,1,45,Brazil
10,2,22,Brazil
5,1,30,Brazil
3,2,27,Brazil
8,2,56,Brazil
10,2,43,Brazil
5,1,65,Brazil
10,2,36,Brazil
6,1,20,Brazil
7,2,29,Brazil
2,2,52,Brazil
6,2,24,Brazil
4,1,64,Brazil
7,1,32,Brazil
10,2,55,Brazil
8,1,23,Brazil
8,2,26,Brazil
0,1,30,Brazil
8,2,48,Brazil
6,1,24,Brazil
6,1,25,Brazil
4,2,22,Brazil
10,2,48,Brazil
9,2,22,Brazil
6,2,57,Brazil
3,1,59,Brazil
5,2,46,Brazil
5,1,19,Brazil
10,2,60,Brazil
10,1,59,Brazil
5,2,62,Brazil
6,1,45,Brazil
6,2,62,Brazil
6,1,20,Brazil
8,1,23,Brazil
6,2,60,Brazil
7,2,60,Brazil
2,2,69,Brazil
6,2,23,Brazil
10,2,45,Brazil
5,2,71,Brazil
5,1,76,Brazil
6,2,25,Brazil
6,2,54,Brazil
8,2,65,Brazil
0,1,50,Brazil
4,2,42,Brazil
5,2,20,Brazil
9,2,66,Brazil
10,2,55,Brazil
3,1,43,Brazil
8,2,24,Brazil
10,2,35,Brazil
8,2,71,Brazil
6,2,52,Brazil
10,2,65,Brazil
6,2,40,Brazil
3,2,52,Brazil
7,1,20,Brazil
8,1,56,Brazil
8,2,33,Brazil
7,1,33,Brazil
6,2,22,Brazil
6,1,18,Brazil
6,1,21,Brazil
3,2,31,Brazil
7,2,34,Brazil
6,2,36,Brazil
5,2,45,Brazil
5,1,29,Brazil
5,2,43,Brazil
4,2,25,Brazil
0,2,24,Brazil
6,2,45,Brazil
7,1,23,Brazil
5,2,55,Brazil
6,1,64,Brazil
1,2,47,Brazil
7,2,47,Brazil
5,1,29,Brazil
10,1,29,Brazil
5,1,21,Brazil
6,2,28,Brazil
8,2,23,Brazil
3,1,20,Brazil
4,2,48,Brazil
7,2,45,Brazil
3,2,50,Brazil
5,2,37,Brazil
5,2,73,Brazil
10,1,38,Brazil
3,2,38,Brazil
5,1,20,Brazil
9,2,27,Brazil
4,1,35,Brazil
6,1,58,Brazil
8,2,30,Brazil
2,1,62,Brazil
6,2,51,Brazil
8,2,65,Brazil
10,2,23,Brazil
3,1,29,Brazil
5,2,37,Brazil
2,2,33,Brazil
3,2,26,Brazil
0,2,28,Brazil
8,2,36,Brazil
8,2,39,Brazil
8,2,57,Brazil
5,2,44,Brazil
5,1,44,Brazil
5,2,25,Brazil
6,2,23,Brazil
3,1,59,Brazil
5,1,24,Brazil
4,1,28,Brazil
8,2,43,Brazil
6,2,49,Brazil
5,2,27,Brazil
10,1,78,Brazil
3,2,25,Brazil
8,2,21,Brazil
10,2,33,Brazil
4,1,63,Brazil
5,2,65,Brazil
5,2,24,Brazil
4,1,22,Brazil
5,2,55,Brazil
8,2,18,Brazil
8,1,73,Brazil
8,2,51,Brazil
6,1,44,Brazil
7,1,38,Brazil
6,1,26,Brazil
7,2,21,Brazil
5,1,51,Brazil
3,1,43,Brazil
5,1,18,Brazil
9,2,44,Brazil
7,1,33,Brazil
0,1,23,Brazil
6,1,19,Brazil
5,2,39,Brazil
8,2,58,Brazil
1,1,78,Brazil
6,2,23,Brazil
8,2,38,Brazil
3,1,28,Brazil
10,1,28,Brazil
4,1,74,Brazil
9,2,39,Brazil
7,2,30,Brazil
10,2,42,Brazil
7,2,24,Brazil
8,1,64,Brazil
6,1,64,Brazil
6,2,35,Brazil
5,1,18,Brazil
8,2,53,Brazil
5,1,40,Brazil
10,2,19,Brazil
8,2,29,Brazil
5,1,28,Brazil
10,2,44,Brazil
5,1,18,Brazil
5,2,30,Brazil
7,2,32,Brazil
8,2,39,Brazil
5,1,73,Brazil
6,2,22,Brazil
9,1,19,Brazil
2,2,35,Brazil
10,2,29,Brazil
5,2,51,Brazil
3,1,49,Brazil
6,2,78,Brazil
7,1,29,Brazil
9,2,24,Brazil
4,1,19,Brazil
3,2,27,Brazil
5,2,35,Brazil
5,2,33,Brazil
6,2,59,Brazil
10,2,24,Brazil
3,2,34,Brazil
7,2,49,Brazil
6,2,65,Brazil
5,1,44,Brazil
8,2,22,Brazil
8,2,30,Brazil
2,2,49,Brazil
10,2,19,Brazil
7,2,58,Brazil
7,1,32,Brazil
8,1,84,Brazil
10,2,22,Brazil
8,1,53,Brazil
1,1,27,Brazil
4,2,58,Brazil
10,2,25,Brazil
7,1,31,Brazil
10,2,27,Brazil
7,2,48,Brazil
5,1,34,Brazil
8,2,33,Brazil
5,1,24,Brazil
7,1,26,Brazil
7,1,20,Brazil
6,2,19,Brazil
5,1,28,Brazil
10,2,38,Brazil
8,1,24,Brazil
8,2,51,Brazil
8,2,41,Brazil
8,1,57,Brazil
5,1,25,Brazil
6,1,19,Brazil
10,1,43,Brazil
8,1,28,Brazil
7,1,65,Brazil
8,1,40,Brazil
3,1,39,Brazil
6,2,21,Brazil
9,1,31,Brazil
8,2,57,Brazil
2,2,42,Brazil
2,2,51,Brazil
5,2,62,Brazil
8,2,70,Brazil
3,1,41,Brazil
8,1,35,Brazil
10,1,56,Brazil
6,2,21,Brazil
5,2,26,Brazil
5,2,73,Brazil
4,1,27,Brazil
6,1,52,Brazil
6,2,56,Brazil
6,2,36,Brazil
8,1,20,Brazil
6,1,32,Brazil
5,2,30,Brazil
8,2,61,Brazil
10,1,38,Brazil
10,1,71,Brazil
3,2,76,Brazil
6,1,24,Brazil
8,2,23,Brazil
10,2,67,Brazil
3,2,25,Brazil
7,1,52,Brazil
5,2,49,Brazil
7,1,50,Brazil
8,2,22,Brazil
6,2,20,Brazil
6,1,46,Brazil
5,2,71,Brazil
5,1,57,Brazil
5,1,38,Brazil
5,2,40,Brazil
5,2,57,Brazil
3,1,49,Brazil
6,2,40,Brazil
7,1,43,Brazil
8,1,59,Brazil
5,2,40,Brazil
5,1,21,Brazil
5,2,41,Brazil
8,2,26,Brazil
5,2,68,Brazil
